date,week,month_key,quarter,year,is_weekend,is_holiday
2024-01-01,1,2024-01,Q1,2024,False,True
2024-01-02,1,2024-01,Q1,2024,False,False
2024-01-03,1,2024-01,Q1,2024,False,False
2024-01-04,1,2024-01,Q1,2024,False,False
2024-01-05,1,2024-01,Q1,2024,False,False
2024-01-06,1,2024-01,Q1,2024,True,False
2024-01-07,1,2024-01,Q1,2024,True,False
2024-01-08,2,2024-01,Q1,2024,False,False
2024-01-09,2,2024-01,Q1,2024,False,False
2024-01-10,2,2024-01,Q1,2024,False,False
2024-01-11,2,2024-01,Q1,2024,False,False
2024-01-12,2,2024-01,Q1,2024,False,False
2024-01-13,2,2024-01,Q1,2024,True,False
2024-01-14,2,2024-01,Q1,2024,True,False
2024-01-15,3,2024-01,Q1,2024,False,True
2024-01-16,3,2024-01,Q1,2024,False,False
2024-01-17,3,2024-01,Q1,2024,False,False
2024-01-18,3,2024-01,Q1,2024,False,False
2024-01-19,3,2024-01,Q1,2024,False,False
2024-01-20,3,2024-01,Q1,2024,True,False
2024-01-21,3,2024-01,Q1,2024,True,False
2024-01-22,4,2024-01,Q1,2024,False,False
2024-01-23,4,2024-01,Q1,2024,False,False
2024-01-24,4,2024-01,Q1,2024,False,False
2024-01-25,4,2024-01,Q1,2024,False,False
2024-01-26,4,2024-01,Q1,2024,False,False
2024-01-27,4,2024-01,Q1,2024,True,False
2024-01-28,4,2024-01,Q1,2024,True,False
2024-01-29,5,2024-01,Q1,2024,False,False
2024-01-30,5,2024-01,Q1,2024,False,False
2024-01-31,5,2024-01,Q1,2024,False,False
2024-02-01,5,2024-02,Q1,2024,False,False
2024-02-02,5,2024-02,Q1,2024,False,False
2024-02-03,5,2024-02,Q1,2024,True,False
2024-02-04,5,2024-02,Q1,2024,True,False
2024-02-05,6,2024-02,Q1,2024,False,False
2024-02-06,6,2024-02,Q1,2024,False,False
2024-02-07,6,2024-02,Q1,2024,False,False
2024-02-08,6,2024-02,Q1,2024,False,False
